Phase;Stage;Match;Team;Continent;OrderTeam;Date;Time;xG;Score;Goals MT;Goals 2MT;Goals XtraTime;Additionnal time HT;Additionnal time FT;Possession;PassesCompleted;PassesTotal;Pass accuracy;Shots;Shots OT;Ycards;Rcards
Round of 16;4;50;Argentina;America;H;03/12/2022;20:00;1.6;2;1;1;0;2;7;60%;635;729;87.11%;14;5;0;0
Round of 16;4;50;Australia;Oceania;A;03/12/2022;20:00;0.6;1;0;1;0;2;7;40%;384;477;80.5%;5;1;2;0
Round of 16;4;51;France;Europe;H;04/12/2022;16:00;1.4;3;1;2;0;2;5;55%;501;601;83.36%;16;8;1;0
Round of 16;4;51;Poland;Europe;A;04/12/2022;16:00;1.7;1;0;1;0;2;5;45%;401;490;81.84%;11;1;2;0
Round of 16;4;52;England;Europe;H;04/12/2022;20:00;1.0;3;2;1;0;2;4;61%;532;627;84.85%;8;4;0;0
Round of 16;4;52;Senegal;Africa;A;04/12/2022;20:00;0.8;0;0;0;0;2;4;39%;316;401;78.8%;10;1;1;0
Round of 16;4;53;Japan;Asia;H;05/12/2022;16:00;1.2;1;1;0;0;2;2;42%;427;588;72.62%;13;4;0;0
Round of 16;4;53;Croatia;Europe;A;05/12/2022;16:00;1.4;1;0;1;0;2;2;58%;650;801;81.15%;17;4;2;0
Round of 16;4;54;Brazil;America;H;05/12/2022;20:00;3.6;4;4;0;0;5;4;53%;560;639;87.64%;6;5;0;0
Round of 16;4;54;Korea Republic;Asia;A;05/12/2022;20:00;0.5;1;0;1;0;5;4;47%;474;564;84.04%;8;5;1;0
Round of 16;4;55;Morocco;Africa;H;06/12/2022;16:00;0.7;0;0;0;0;1;5;24%;241;351;68.66%;6;2;1;0
Round of 16;4;55;Spain;Europe;A;06/12/2022;16:00;1.0;0;0;0;0;1;5;76%;969;1088;89.06%;13;1;1;0
Round of 16;4;56;Portugal;Europe;H;06/12/2022;20:00;2.3;6;2;4;0;4;4;48%;396;486;81.48%;15;9;0;0
Round of 16;4;56;Switzerland;Europe;A;06/12/2022;20:00;1.2;1;0;1;0;4;4;52%;442;537;82.31%;10;2;2;0
Quarter Finals;5;57;Croatia;Europe;H;09/12/2022;16:00;0.6;1;0;0;1;1;4;50%;636;741;85.83%;9;1;2;0
Quarter Finals;5;57;Brazil;America;A;09/12/2022;16:00;2.5;1;0;0;1;1;4;50%;638;738;86.45%;21;11;3;0
Quarter Finals;5;58;Netherlands;Europe;H;09/12/2022;20:00;0.6;2;0;2;0;5;10;52%;572;701;81.6%;6;2;9;1
Quarter Finals;5;58;Argentina;America;A;09/12/2022;20:00;1.9;2;1;1;0;5;10;48%;526;642;81.93%;13;4;10;0
Quarter Finals;5;59;Morocco;Africa;H;10/12/2022;16:00;1.4;1;1;0;0;2;8;27%;187;268;69.78%;9;3;4;1
Quarter Finals;5;59;Portugal;Europe;A;10/12/2022;16:00;0.9;0;0;0;0;2;8;73%;606;731;82.9%;12;3;1;0
Quarter Finals;5;60;England;Europe;H;10/12/2022;20:00;2.4;1;0;1;0;4;8;57%;463;543;85.27%;14;6;1;0
Quarter Finals;5;60;France;Europe;A;10/12/2022;20:00;0.9;2;1;1;0;4;8;43%;325;409;79.46%;8;5;3;0
Semi Finals;6;61;Argentina;America;H;13/12/2022;20:00;2.3;3;2;1;0;4;5;40%;352;427;82.44%;8;6;2;0
Semi Finals;6;61;Croatia;Europe;A;13/12/2022;20:00;0.5;0;0;0;0;4;5;60%;559;654;85.47%;12;2;2;0
Semi Finals;6;62;France;Europe;H;14/12/2022;20:00;2.0;2;1;1;0;3;6;39%;309;390;79.23%;14;2;0;0
Semi Finals;6;62;Morocco;Africa;A;14/12/2022;20:00;0.9;0;0;0;0;3;6;61%;519;612;84.8%;13;2;1;0
Third-Place Match;7;63;Croatia;Europe;H;17/12/2022;16:00;0.7;2;2;0;0;2;6;50%;431;521;82.73%;12;4;0;0
Third-Place Match;7;63;Morocco;Africa;A;17/12/2022;16:00;1.2;1;1;0;0;2;6;50%;427;514;83.07%;9;2;2;0
Final;7;64;Argentina;America;H;18/12/2022;16:00;3.2;3;2;0;1;7;8;54%;554;689;80.41%;19;9;5;0
Final;7;64;France;Europe;A;18/12/2022;16:00;2.2;3;0;2;1;7;8;46%;436;586;74.4%;8;3;3;0
